"Country or Area","Year(s)","Variant","Value"
"Burundi","2100","Medium","50904.082"
"Burundi","2100","High","67454.445"
"Burundi","2100","Low","37491.408"
"Burundi","2100","Constant fertility","154169.647"
"Burundi","2100","Instant replacement","21652.174"
"Burundi","2100","Zero migration","50590.901"
"Burundi","2100","Constant mortality","38445.695"
"Burundi","2100","No change","118472.189"
"Burundi","2100","Momentum","18724.435"
"Burundi","2099","Medium","50489.583"
"Burundi","2099","High","66566.433"
"Burundi","2099","Low","37400.684"
"Burundi","2099","Constant fertility","149247.765"
"Burundi","2099","Instant replacement","21626.854"
"Burundi","2099","Zero migration","50181.093"
"Burundi","2099","Constant mortality","38339.199"
"Burundi","2099","No change","115206.263"
"Burundi","2099","Momentum","18728.619"
"Burundi","2098","Medium","50067.834"
"Burundi","2098","High","65677.921"
"Burundi","2098","Low","37300.717"
"Burundi","2098","Constant fertility","144483.701"
"Burundi","2098","Instant replacement","21603.417"
"Burundi","2098","Zero migration","49764.037"
"Burundi","2098","Constant mortality","38224.133"
"Burundi","2098","No change","112030.391"
"Burundi","2098","Momentum","18736.999"
"Burundi","2097","Medium","49639.019"
"Burundi","2097","High","64789.325"
"Burundi","2097","Low","37191.477"
"Burundi","2097","Constant fertility","139872.601"
"Burundi","2097","Instant replacement","21581.111"
"Burundi","2097","Zero migration","49339.926"
"Burundi","2097","Constant mortality","38100.385"
"Burundi","2097","No change","108942.053"
"Burundi","2097","Momentum","18748.67"
"Burundi","2096","Medium","49203.323"
"Burundi","2096","High","63900.994"
"Burundi","2096","Low","37072.912"
"Burundi","2096","Constant fertility","135409.697"
"Burundi","2096","Instant replacement","21559.23"
"Burundi","2096","Zero migration","48908.926"
"Burundi","2096","Constant mortality","37967.853"
"Burundi","2096","No change","105938.805"
"Burundi","2096","Momentum","18762.778"
"Burundi","2095","Medium","48760.892"
"Burundi","2095","High","63013.232"
"Burundi","2095","Low","36944.983"
"Burundi","2095","Constant fertility","131090.292"
"Burundi","2095","Instant replacement","21537.126"
